time flow_rate
0 -12315.04
0.01 -9236.28
0.02 -8620.53
0.03 -9852.03
0.04 -12930.8
0.05 -16625.31
0.06 -22167.08
0.07 -30787.61
0.08 -44334.16
0.09 -57880.7
0.1 -70195.75
0.11 -82510.79
0.12 -93594.33
0.13 -100983.35
0.14 -107756.63
0.15 -114529.9
0.16 -118840.17
0.17 -119455.92
0.18 -120687.42
0.19 -120071.67
0.2 -118840.17
0.21 -118840.17
0.22 -115761.41
0.23 -111451.14
0.24 -107140.88
0.25 -100983.35
0.26 -95441.58
0.27 -89899.82
0.28 -84973.8
0.29 -80047.78
0.3 -75121.76
0.31 -70195.75
0.32 -65269.73
0.33 -59727.96
0.34 -54186.19
0.35 -48644.42
0.36 -42486.9
0.37 -36945.13
0.38 -30171.86
0.39 -24630.09
0.4 -20319.82
0.41 -15393.8
0.42 -9852.03
0.43 -8620.53
0.44 -8004.78
0.45 -6773.27
0.46 -6773.27
0.47 -6773.27
0.48 -7389.03
0.49 -7389.03
0.5 -8004.78
0.51 -8620.53
0.52 -9236.28
0.53 -10467.79
0.54 -11083.54
0.55 -12315.04
0.56 -12930.8
0.57 -12930.8
0.58 -13546.55
0.59 -14162.3
0.6 -14162.3
0.61 -14778.05
0.62 -14778.05
0.63 -15393.8
0.64 -15393.8
0.65 -16009.56
0.66 -16009.56
0.67 -16625.31
0.68 -17241.06
0.69 -17856.81
0.7 -18472.56
0.71 -17856.81
0.72 -17241.06
0.73 -16009.56
0.74 -14778.05
0.75 -13546.55
0.76 -12930.8
0.77 -12315.04
0.78 -11699.29
0.79 -11699.29
0.8 -11083.54
0.81 -11083.54
0.82 -10467.79
0.83 -10467.79
0.84 -10467.79
0.85 -10467.79
0.86 -10467.79
0.87 -11083.54
0.88 -11083.54
0.89 -11083.54
0.9 -11083.54
0.91 -11699.29
0.92 -11699.29
0.93 -11699.29
0.94 -12315.04
0.95 -12315.04
0.96 -12930.8
0.97 -12930.8
0.98 -12930.8
0.99 -12315.04
1 -12315.04
