time flow_rate
0 -12315.04
0.02 -8620.53
0.04 -12930.8
0.06 -22167.08
0.08 -44334.16
0.1 -70195.75
0.12 -93594.33
0.14 -107756.63
0.16 -118840.17
0.18 -120687.42
0.2 -118840.17
0.22 -115761.41
0.24 -107140.88
0.26 -95441.58
0.28 -84973.8
0.3 -75121.76
0.32 -65269.73
0.34 -54186.19
0.36 -42486.9
0.38 -30171.86
0.4 -20319.82
0.42 -9852.03
0.44 -8004.78
0.46 -6773.27
0.48 -7389.03
0.5 -8004.78
0.52 -9236.28
0.54 -11083.54
0.56 -12930.8
0.58 -13546.55
0.6 -14162.3
0.62 -14778.05
0.64 -15393.8
0.66 -16009.56
0.68 -17241.06
0.7 -18472.56
0.72 -17241.06
0.74 -14778.05
0.76 -12930.8
0.78 -11699.29
0.8 -11083.54
0.82 -10467.79
0.84 -10467.79
0.86 -10467.79
0.88 -11083.54
0.9 -11083.54
0.92 -11699.29
0.94 -12315.04
0.96 -12930.8
0.98 -12930.8
1 -12315.04
