time	flow_rate
0.000000 -9.893889
0.021705 -17.496779
0.040310 -25.522962
0.055814 -32.281887
0.071318 -39.463450
0.096124 -46.220409
0.116279 -51.076483
0.142636 -54.452014
0.193798 -55.075158
0.229457 -51.686522
0.268217 -43.859536
0.294574 -37.514403
0.317829 -28.211461
0.342636 -18.696873
0.362791 -11.507775
0.384496 -4.107031
0.421705 1.395121
0.449612 2.246293
0.493023 0.564917
0.545736 -1.748451
0.593798 -2.794888
0.651163 -1.303535
0.694574 -0.237767
0.728682 0.614716
0.784496 1.260467
0.834109 1.482270
0.917829 -0.401908
0.956589 -2.295586
0.979845 -5.037816
0.996899 -8.203994
