time	flow_rate
0.0 -8.4
0.005798 -8.313483
0.040670 -14.399433
0.055457 -24.095717
0.065737 -32.684833
0.079428 -43.490233
0.088619 -53.465633
0.101171 -63.439883
0.142024 -86.154733
0.163306 -85.870183
0.182209 -79.488417
0.195490 -72.277050
0.210987 -63.956200
0.224268 -56.744833
0.270727 -30.396350
0.284008 -23.184983
0.300644 -15.695267
0.318432 -9.591083
0.355280 -4.034650
0.379924 -3.748933
0.409049 -3.461650
0.440446 -4.559517
0.475205 -5.656200
0.508850 -7.030450
0.545875 -9.235100
0.579501 -9.777817
0.614279 -11.706033
0.659102 -11.967700
0.702774 -10.843833
0.747541 -8.610850
